Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
R30,30K,R_0805_2012Metric,-15.884407,17.733237,0.000000,top
R31,47K,R_0805_2012Metric,-65.174500,22.860000,180.000000,top
R32,150R,R_0805_2012Metric,-65.174500,19.304000,180.000000,top
R33,2K2,R_0805_2012Metric,-42.128000,22.888000,0.000000,top
R34,71K5,R_0805_2012Metric,-47.380407,7.954237,0.000000,top
R35,270R,R_0805_2012Metric,-47.380407,0.842237,0.000000,top
R36,90K9,R_0805_2012Metric,-42.808407,2.366237,0.000000,top
R37,10K,R_0805_2012Metric,-38.744407,2.366237,180.000000,top
R38,0.05R,R_2512_6332Metric,-33.664407,3.382237,90.000000,top
R39,1K,R_0805_2012Metric,-25.536407,2.366237,0.000000,top
R40,1K,R_0805_2012Metric,-29.600407,2.366237,0.000000,top
R41,47K,R_0805_2012Metric,3.048000,46.549000,-90.000000,top
R42,47K,R_0805_2012Metric,-8.636000,46.549000,90.000000,top
REF**,Eye_Mousebites,Eye_Mousebites,-14.758000,51.542000,0.000000,top
REF**,Eye_Mousebites,Eye_Mousebites,-3.026000,51.542000,0.000000,top
RV1,10K,RES-TH_RK09K1110A0J,-58.420000,42.546000,180.000000,top
RV2,10K,RES-TH_RK09K1110A0J,-74.168000,42.546000,180.000000,top
RV3,10K,RES-ADJ-TH_3P-L10.0-W10.0-P2.50-L,-44.958000,44.450000,0.000000,top
RV4,10K,RES-ADJ-TH_3P-L10.0-W10.0-P2.50-L,-34.544000,44.450000,0.000000,top
RV5,10K,RES-ADJ-TH_3P-L10.0-W10.0-P2.50-L,-24.170000,44.450000,0.000000,top
SW1,Reset,SW_Push_1P1T_XKB_TS-1187A,-88.128000,15.188000,0.000000,top
SW2,Lamp,KEY-TH_4P-L12.0-W12.0-P5.0-LS12.5-EH-small,-87.004407,-34.971763,0.000000,top
SW3,Zoom,KEY-TH_4P-L12.0-W12.0-P5.0-LS12.5-EH-small,-74.304407,-34.971763,0.000000,top
SW4,<<,KEY-TH_4P-L12.0-W12.0-P5.0-LS12.5-EH-small,-61.604407,-34.971763,0.000000,top
SW5,<,KEY-TH_4P-L12.0-W12.0-P5.0-LS12.5-EH-small,-48.904407,-34.971763,0.000000,top
SW6,Stop,KEY-TH_4P-L12.0-W12.0-P5.0-LS12.5-EH-small,-36.204407,-34.971763,0.000000,top
SW7,>,KEY-TH_4P-L12.0-W12.0-P5.0-LS12.5-EH-small,-23.504407,-34.971763,0.000000,top
SW8,>>,KEY-TH_4P-L12.0-W12.0-P5.0-LS12.5-EH-small,-10.804407,-34.971763,0.000000,top
SW9,Rec,KEY-TH_4P-L12.0-W12.0-P5.0-LS12.5-EH-small,1.895593,-34.971763,0.000000,top
SW10,Power,KEY-TH_4P-L7.3-W10.2-P4.50-LS7.0,-87.716000,47.888000,180.000000,top
SW11,Target,SW-SMD_3P-P1.50_L2.7-W6.6,-2.804000,46.239000,180.000000,top
U1,ATmega328P,TQFP-32_7x7mm_P0.8mm,-76.152407,7.151237,0.000000,top
U2,74LVC14,SOIC-14_3.9x8.7mm_P1.27mm,-80.908407,-10.906763,90.000000,top
U3,QRE1113,QRE1113GR-slim,-14.710000,56.979500,180.000000,top
U4,QRE1113,QRE1113GR-slim,-3.058000,56.979500,180.000000,top
U5,DRV8871DDA,Texas_HTSOP-8-1EP_3.9x4.9mm_P1.27mm_EP2.95x4.9mm_Mask2.4x3.1mm_ThermalVias,-13.979407,22.860000,0.000000,top
U6,78L05,SOT-89-3,-50.936407,23.194237,0.000000,top
U7,XL4015,TO-263-5_TabPin3,-55.000407,-4.745763,-90.000000,top
U8,TL431,SOT-23,-49.128000,16.288000,90.000000,top
U9,LM358,SOIC-8_3.9x4.9mm_P1.27mm,-40.776407,6.938237,0.000000,top
Y1,8MHz,Crystal_SMD_5032-2Pin_5.0x3.2mm,-85.017407,3.001237,-90.000000,top
